pc_timestamp,pc_time_s,T_degC,TempIn_degC,RTD_Ohm,u_V,Pd_W,error_K,FBL_A,TSET_degC,TAMB_degC,EN,raw_line
2026-04-23 03:10:09.754247,168.10638236999512,31.5,24.04,112.25,0.0,36.2316,-38.5028,0.0333,70.0,25.0,0,"A1=0.0585V,P1=+37.88deg|A2=0.0808V,P2=+31.21deg|A3=0.0624V,P3=+55.70deg|A4=0.0481V,P4=+68.04deg|RTD=112.25Ohm,T=31.50C,TempIn=24.04C|MX=1.9195V,MY=3.2992V,MZ=0.0993V,MVREF=1.7516V|FBL_U=0.0000V,FBL_PD=36.2316W,FBL_PACT=0.0000W,FBL_E=-38.5028K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:10.088262,168.44039702415466,30.8,23.68,111.98,0.0,36.8717,-39.201,0.0333,70.0,25.0,0,"A1=0.0548V,P1=+35.29deg|A2=0.0723V,P2=+33.85deg|A3=0.0624V,P3=+55.75deg|A4=0.0471V,P4=+66.23deg|RTD=111.98Ohm,T=30.80C,TempIn=23.68C|MX=1.9192V,MY=3.2992V,MZ=0.0991V,MVREF=1.7512V|FBL_U=0.0000V,FBL_PD=36.8717W,FBL_PACT=0.0000W,FBL_E=-39.2010K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:10.382975,168.7351107597351,30.96,23.71,112.04,0.0,36.7236,-39.0396,0.0333,70.0,25.0,0,"A1=0.0569V,P1=+35.69deg|A2=0.0813V,P2=+30.84deg|A3=0.0633V,P3=+53.73deg|A4=0.0493V,P4=+67.74deg|RTD=112.04Ohm,T=30.96C,TempIn=23.71C|MX=1.9197V,MY=3.2992V,MZ=0.0992V,MVREF=1.7523V|FBL_U=0.0000V,FBL_PD=36.7236W,FBL_PACT=0.0000W,FBL_E=-39.0396K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:10.633108,168.98524403572083,31.56,24.1,112.28,0.0,36.1719,-38.4376,0.0333,70.0,25.0,0,"A1=0.0572V,P1=+37.50deg|A2=0.0803V,P2=+31.51deg|A3=0.0611V,P3=+55.25deg|A4=0.0508V,P4=+68.69deg|RTD=112.28Ohm,T=31.56C,TempIn=24.10C|MX=1.9193V,MY=3.2992V,MZ=0.0993V,MVREF=1.7516V|FBL_U=0.0000V,FBL_PD=36.1719W,FBL_PACT=0.0000W,FBL_E=-38.4376K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:10.953196,169.305330991745,30.82,23.73,111.99,0.0,36.8482,-39.1754,0.0333,70.0,25.0,0,"A1=0.0556V,P1=+35.81deg|A2=0.0770V,P2=+32.23deg|A3=0.0618V,P3=+55.20deg|A4=0.0497V,P4=+67.67deg|RTD=111.99Ohm,T=30.82C,TempIn=23.73C|MX=1.9194V,MY=3.2992V,MZ=0.0993V,MVREF=1.7518V|FBL_U=0.0000V,FBL_PD=36.8482W,FBL_PACT=0.0000W,FBL_E=-39.1754K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:11.265965,169.61810088157654,30.89,23.85,112.02,0.0,36.7909,-39.1129,0.0333,70.0,25.0,0,"A1=0.0561V,P1=+35.12deg|A2=0.0775V,P2=+31.33deg|A3=0.0627V,P3=+55.05deg|A4=0.0507V,P4=+68.99deg|RTD=112.02Ohm,T=30.89C,TempIn=23.85C|MX=1.9192V,MY=3.2992V,MZ=0.0993V,MVREF=1.7522V|FBL_U=0.0000V,FBL_PD=36.7909W,FBL_PACT=0.0000W,FBL_E=-39.1129K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:11.510997,169.86313247680664,31.16,24.11,112.12,0.0,36.5444,-38.844,0.0333,70.0,25.0,0,"A1=0.0558V,P1=+35.12deg|A2=0.0807V,P2=+31.38deg|A3=0.0629V,P3=+54.91deg|A4=0.0505V,P4=+69.00deg|RTD=112.12Ohm,T=31.16C,TempIn=24.11C|MX=1.9192V,MY=3.2992V,MZ=0.0994V,MVREF=1.7511V|FBL_U=0.0000V,FBL_PD=36.5444W,FBL_PACT=0.0000W,FBL_E=-38.8440K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:11.836210,170.18834567070007,31.06,23.89,112.08,0.0,36.6287,-38.936,0.0333,70.0,25.0,0,"A1=0.0562V,P1=+35.19deg|A2=0.0787V,P2=+31.79deg|A3=0.0634V,P3=+54.76deg|A4=0.0497V,P4=+67.71deg|RTD=112.08Ohm,T=31.06C,TempIn=23.89C|MX=1.9194V,MY=3.2992V,MZ=0.0993V,MVREF=1.7519V|FBL_U=0.0000V,FBL_PD=36.6287W,FBL_PACT=0.0000W,FBL_E=-38.9360K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:12.146511,170.49864602088928,30.9,23.75,112.02,0.0,36.7767,-39.0974,0.0333,70.0,25.0,0,"A1=0.0563V,P1=+35.51deg|A2=0.0799V,P2=+30.06deg|A3=0.0621V,P3=+54.44deg|A4=0.0490V,P4=+68.64deg|RTD=112.02Ohm,T=30.90C,TempIn=23.75C|MX=1.9193V,MY=3.2992V,MZ=0.0991V,MVREF=1.7528V|FBL_U=0.0000V,FBL_PD=36.7767W,FBL_PACT=0.0000W,FBL_E=-39.0974K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 03:10:12.389742,170.74187755584717,31.18,24.1,112.13,0.0,36.5219,-38.8194,0.0333,70.0,25.0,0,"A1=0.0554V,P1=+33.63deg|A2=0.0797V,P2=+32.13deg|A3=0.0630V,P3=+55.74deg|A4=0.0502V,P4=+68.82deg|RTD=112.13Ohm,T=31.18C,TempIn=24.10C|MX=1.9188V,MY=3.2992V,MZ=0.0993V,MVREF=1.7513V|FBL_U=0.0000V,FBL_PD=36.5219W,FBL_PACT=0.0000W,FBL_E=-38.8194K,FBL_A=0.033300,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
