pc_timestamp,pc_time_s,T_degC,TempIn_degC,RTD_Ohm,u_V,Pd_W,P_act_W,error_K,alpha_hat,T_ref_degC,T_amb_degC,EN,raw_line
2026-04-23 04:28:03.945598,24.889873504638672,30.97,22.11,112.05,0.0,0.0,0.0,-39.0337,0.0167,70.0,25.0,0,"A1=0.0590V,P1=+37.64deg|A2=0.0788V,P2=+31.83deg|A3=0.0633V,P3=+55.35deg|A4=0.0520V,P4=+68.91deg|RTD=112.05Ohm,T=30.97C,TempIn=22.11C|MX=1.9132V,MY=3.2992V,MZ=0.3405V,MVREF=1.7520V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.0337K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:04.238446,25.182721376419067,30.47,22.03,111.86,0.0,0.0,0.0,-39.5294,0.0167,70.0,25.0,0,"A1=0.0551V,P1=+34.06deg|A2=0.0829V,P2=+29.82deg|A3=0.0627V,P3=+55.37deg|A4=0.0495V,P4=+68.51deg|RTD=111.86Ohm,T=30.47C,TempIn=22.03C|MX=1.9136V,MY=3.2992V,MZ=0.3404V,MVREF=1.7516V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.5294K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:04.534414,25.478689432144165,30.81,22.16,111.98,0.0,0.0,0.0,-39.195,0.0167,70.0,25.0,0,"A1=0.0560V,P1=+34.14deg|A2=0.0786V,P2=+31.46deg|A3=0.0621V,P3=+54.81deg|A4=0.0498V,P4=+67.76deg|RTD=111.98Ohm,T=30.81C,TempIn=22.16C|MX=1.9134V,MY=3.2992V,MZ=0.3402V,MVREF=1.7523V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.1950K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:04.826222,25.7704975605011,30.73,22.07,111.96,0.0,0.0,0.0,-39.2692,0.0167,70.0,25.0,0,"A1=0.0560V,P1=+34.39deg|A2=0.0796V,P2=+32.51deg|A3=0.0627V,P3=+54.78deg|A4=0.0504V,P4=+68.82deg|RTD=111.96Ohm,T=30.73C,TempIn=22.07C|MX=1.9136V,MY=3.2992V,MZ=0.3404V,MVREF=1.7517V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.2692K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:05.116532,26.06080722808838,30.65,22.11,111.92,0.0,0.0,0.0,-39.3514,0.0167,70.0,25.0,0,"A1=0.0562V,P1=+34.91deg|A2=0.0768V,P2=+32.54deg|A3=0.0623V,P3=+55.22deg|A4=0.0492V,P4=+67.93deg|RTD=111.92Ohm,T=30.65C,TempIn=22.11C|MX=1.9126V,MY=3.2992V,MZ=0.3404V,MVREF=1.7516V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.3514K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:05.410181,26.354456901550293,30.88,22.21,112.01,0.0,0.0,0.0,-39.1208,0.0167,70.0,25.0,0,"A1=0.0561V,P1=+34.35deg|A2=0.0731V,P2=+35.05deg|A3=0.0632V,P3=+55.27deg|A4=0.0526V,P4=+69.01deg|RTD=112.01Ohm,T=30.88C,TempIn=22.21C|MX=1.9128V,MY=3.2992V,MZ=0.3404V,MVREF=1.7509V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.1208K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:05.702441,26.646717071533203,30.6,22.13,111.9,0.0,0.0,0.0,-39.4024,0.0167,70.0,25.0,0,"A1=0.0582V,P1=+36.84deg|A2=0.0778V,P2=+31.73deg|A3=0.0641V,P3=+54.41deg|A4=0.0496V,P4=+67.27deg|RTD=111.90Ohm,T=30.60C,TempIn=22.13C|MX=1.9129V,MY=3.2992V,MZ=0.3405V,MVREF=1.7511V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.4024K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:05.995586,26.93986201286316,30.69,22.12,111.94,0.0,0.0,0.0,-39.3131,0.0167,70.0,25.0,0,"A1=0.0561V,P1=+35.28deg|A2=0.0793V,P2=+31.76deg|A3=0.0617V,P3=+55.32deg|A4=0.0522V,P4=+69.23deg|RTD=111.94Ohm,T=30.69C,TempIn=22.12C|MX=1.9128V,MY=3.2992V,MZ=0.3405V,MVREF=1.7518V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.3131K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:06.289422,27.23369789123535,30.5,22.08,111.87,0.0,0.0,0.0,-39.498,0.0167,70.0,25.0,0,"A1=0.0570V,P1=+34.79deg|A2=0.0819V,P2=+30.46deg|A3=0.0614V,P3=+56.91deg|A4=0.0492V,P4=+67.56deg|RTD=111.87Ohm,T=30.50C,TempIn=22.08C|MX=1.9141V,MY=3.2992V,MZ=0.3403V,MVREF=1.7538V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.4980K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
2026-04-23 04:28:06.581531,27.52580738067627,30.76,22.13,111.97,0.0,0.0,0.0,-39.2448,0.0167,70.0,25.0,0,"A1=0.0569V,P1=+35.48deg|A2=0.0773V,P2=+32.60deg|A3=0.0642V,P3=+53.74deg|A4=0.0500V,P4=+68.75deg|RTD=111.97Ohm,T=30.76C,TempIn=22.13C|MX=1.9135V,MY=3.2992V,MZ=0.3405V,MVREF=1.7520V|MRAC_U=0.0000V,MRAC_PD=0.0000W,MRAC_PACT=0.0000W,MRAC_E=-39.2448K,MRAC_A=0.016700,TSET=70.0C,TMODE=0,TAMB=25.00C,EN=0|PF=350000.0Hz,PE=+0.00deg,PLLEN=0,PLLOK=0"
